instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 4, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 4, r_stack_op = op_nop                                  
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 200, r_stack_op = op_nop                                
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 200, r_stack_op = op_nop                                
instruction = pf_nxt_1, instruction_literal = 0, instruction_duration = 0, r_stack_op = op_nop                                  
